CustomerID,Age,Gender,Geography,Income,CreditScore,CardType,CreditLimit,OutstandingBalance,AvgMonthlySpend,LatePaymentCount_12m,CashAdvanceCount_12m,RewardPoints,TenureMonths,NumProducts,HasOnlineBanking,HasMobileApp,CustomerServiceCalls_6m,Churn,Churn_Probability,Churn_Prediction,Risk_Level,Churn_Signals,Recommendations
TESTCUST200033,69,Male,India,159250,480,Gold,425005,397808,13918,4,0,219394,93,4,Yes,Yes,2,Yes,0.6201311945095084,Yes,high,None detected,No action needed
TESTCUST200034,28,Male,UK,72675,652,Platinum,251383,368124,52274,3,0,148971,49,4,Yes,Yes,0,No,0.0823262744224588,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200035,62,Male,UK,80474,879,Silver,242752,238921,24613,2,0,85175,54,3,Yes,Yes,3,No,0.041524478064892546,No,low,None detected,No action needed
TESTCUST200036,56,Female,UK,129674,489,Silver,351141,153789,30049,1,2,94762,30,3,Yes,No,2,No,0.050074735340369506,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200037,49,Female,India,126242,879,Gold,313433,455153,2428,0,0,129895,22,2,Yes,Yes,4,No,0.25350393399274346,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200038,73,Male,USA,152863,566,Gold,112343,350744,48066,6,2,133324,148,3,Yes,Yes,0,Yes,0.8290389610389611,Yes,critical,high_churn_probability: Model predicts high likelihood of churn,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach
TESTCUST200039,59,Female,India,64042,658,Gold,175329,86165,18358,1,2,72825,17,5,Yes,Yes,2,No,0.038041467757029934,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200040,54,Male,UK,203323,416,Silver,493394,286516,68684,1,2,240817,12,3,Yes,Yes,4,No,0.09722611447679848,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200041,42,Male,USA,28184,748,Silver,414278,323677,39939,1,1,241031,127,3,Yes,Yes,3,No,0.07586467025777457,No,low,None detected,No action needed
TESTCUST200042,51,Male,Canada,210716,598,Silver,411592,462466,55522,1,3,53793,114,4,No,Yes,3,Yes,0.5952536781154015,Yes,high,None detected,No action needed
TESTCUST200043,48,Male,India,25277,386,Gold,303163,264099,70653,2,2,79184,106,2,Yes,Yes,1,Yes,0.5372978410478411,Yes,high,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200044,55,Male,India,28543,547,Gold,102770,434505,48119,1,1,146782,17,4,Yes,No,0,Yes,0.3555714285714285,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200045,54,Female,UK,172888,772,Silver,262102,31765,77664,3,2,206084,79,5,Yes,Yes,1,No,0.02284209304146433,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200046,33,Male,USA,81907,808,Gold,470329,149672,62342,1,3,244588,102,3,Yes,No,0,No,0.04933823529411765,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200047,61,Female,Australia,203850,820,Silver,299024,374788,66704,2,0,225964,86,5,Yes,Yes,0,No,0.12057210883793866,No,low,None detected,No action needed
TESTCUST200048,24,Male,Australia,101246,840,Silver,341067,60202,70607,0,1,103218,103,1,Yes,Yes,2,No,0.08960577254265932,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200049,63,Male,USA,55669,668,Platinum,221074,531789,63218,0,3,63376,101,5,Yes,No,5,Yes,0.6623951545530494,Yes,high,None detected,No action needed
TESTCUST200050,26,Male,Australia,159558,494,Silver,135489,359925,10408,2,0,32429,147,2,Yes,No,3,No,0.3914174018281023,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200051,21,Male,Canada,195534,551,Silver,156709,402497,59992,0,0,203123,3,5,Yes,Yes,3,Yes,0.7031117216117216,Yes,critical,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
TESTCUST200052,32,Female,Canada,112639,820,Platinum,364348,6582,68489,4,1,246740,85,4,Yes,No,1,No,0.11771511627906976,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200053,55,Female,India,129306,697,Gold,221967,236327,9566,2,1,16051,76,4,No,No,2,No,0.07798096174670625,No,low,missing_features: Lacks popular value-added services,"[MEDIUM] Recommend additional services: HasOnlineBanking, HasMobileApp; [MEDIUM] Offer free trial of value-add features"
TESTCUST200054,31,Male,Australia,33673,462,Silver,599591,83740,12066,1,1,236870,2,4,No,Yes,1,No,0.2544166666666667,No,medium,low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200055,43,Male,UK,125966,839,Platinum,472670,129543,8888,3,1,82738,141,2,Yes,Yes,5,No,0.09195742038580916,No,low,None detected,No action needed
TESTCUST200056,34,Female,India,59895,787,Silver,388232,203727,17982,0,2,199623,86,2,Yes,Yes,1,No,0.04226002482679501,No,low,None detected,No action needed
TESTCUST200057,39,Female,USA,193128,886,Silver,397531,318747,54823,1,1,199184,11,2,Yes,Yes,2,No,0.09679235757106679,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200058,57,Male,Canada,29493,422,Gold,583296,532379,15418,0,3,215572,75,5,Yes,Yes,2,Yes,0.6331167502088554,Yes,high,None detected,No action needed
TESTCUST200059,36,Female,UK,129822,629,Gold,70899,333954,84481,2,1,98984,56,4,Yes,Yes,1,No,0.053299302489255546,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200060,64,Male,UK,152345,492,Silver,65388,296418,30639,5,2,94048,15,3,Yes,Yes,3,Yes,0.7599569858246328,Yes,critical,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
TESTCUST200061,48,Male,USA,197021,699,Silver,188027,447515,75014,0,0,171857,23,3,Yes,Yes,0,No,0.179233346479925,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200062,65,Female,India,165474,870,Gold,417057,276264,67482,2,1,107079,51,1,Yes,Yes,2,No,0.09641600642423775,No,low,None detected,No action needed
TESTCUST200063,51,Male,India,116586,441,Silver,354479,547566,75162,0,0,184400,46,3,Yes,Yes,2,No,0.16950716422242368,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200064,73,Female,India,108194,824,Gold,514729,42680,24719,2,0,210475,99,2,No,Yes,0,No,0.030949611120431538,No,low,None detected,No action needed
TESTCUST200065,27,Female,USA,47572,873,Gold,385423,384105,32678,1,1,78978,53,1,No,Yes,2,No,0.06688792024913864,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200066,66,Female,USA,125598,378,Platinum,291114,486471,4855,4,0,145323,39,1,No,Yes,3,Yes,0.6837694835865329,Yes,high,None detected,No action needed
TESTCUST200067,72,Male,Australia,163458,787,Silver,585699,39865,60666,2,1,229958,28,3,Yes,Yes,3,No,0.038588325118854364,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200068,47,Male,India,160132,840,Silver,317168,244484,42531,2,0,143194,68,4,Yes,Yes,2,No,0.07912577002047919,No,low,None detected,No action needed
TESTCUST200069,37,Female,India,97202,772,Silver,306915,446679,18741,0,1,133548,77,3,Yes,Yes,1,No,0.2289356454090896,No,low,None detected,No action needed
TESTCUST200070,27,Female,India,85737,359,Gold,271655,29606,22497,5,0,7819,145,1,Yes,Yes,2,No,0.39693650793650803,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200071,35,Female,Canada,104931,840,Silver,85081,407472,24695,1,1,63647,135,3,Yes,No,1,No,0.19672019228301094,No,low,None detected,No action needed
TESTCUST200072,73,Female,Canada,129651,867,Gold,434248,345834,68263,2,2,185714,10,5,Yes,Yes,0,No,0.259750830564784,No,medium,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200073,60,Male,India,164576,782,Gold,460785,416552,62692,5,3,116544,58,4,No,Yes,1,No,0.41613120222564354,No,medium,None detected,No action needed
TESTCUST200074,32,Female,India,150759,702,Silver,236651,71241,63996,1,2,51179,58,5,No,Yes,2,No,0.074047059285958,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200075,28,Male,India,179199,872,Gold,296343,477380,65085,2,1,161756,79,4,Yes,Yes,1,No,0.09949156585653327,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200076,22,Male,UK,201890,674,Silver,95495,82952,19544,4,1,123751,126,2,Yes,No,2,Yes,0.707080558330558,Yes,critical,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
TESTCUST200077,64,Male,UK,26047,719,Silver,213342,123879,85969,0,1,48586,62,2,Yes,No,6,No,0.1996149167549785,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200078,58,Male,India,74809,364,Silver,371058,492707,17413,1,0,238489,132,4,Yes,No,2,No,0.2590077358920457,No,medium,None detected,No action needed
TESTCUST200079,46,Male,USA,83727,860,Platinum,61238,307736,40472,1,3,205129,44,3,No,Yes,1,Yes,0.23339881211428526,No,low,None detected,No action needed
TESTCUST200080,71,Male,India,45500,850,Gold,49711,106412,54434,1,0,6342,90,4,Yes,Yes,4,No,0.16642799069902892,No,low,None detected,No action needed
TESTCUST200081,41,Female,Australia,140413,856,Gold,223400,256520,35662,3,1,188820,149,3,Yes,Yes,1,No,0.10498651604417264,No,low,None detected,No action needed
TESTCUST200082,70,Female,UK,43386,749,Silver,93487,78443,87200,1,0,153353,148,5,No,Yes,2,No,0.14552989522283932,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200083,33,Male,Canada,71657,403,Silver,33820,101608,67644,3,1,1475,12,1,Yes,No,3,Yes,0.6475493658388395,Yes,high,low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200084,39,Male,Canada,92280,716,Gold,208658,89452,2401,1,3,151188,51,4,Yes,Yes,1,No,0.04121841934574622,No,low,None detected,No action needed
TESTCUST200085,38,Female,USA,191375,512,Silver,235151,56965,65268,1,0,30563,102,4,Yes,Yes,3,No,0.03895558024132721,No,low,None detected,No action needed
TESTCUST200086,22,Female,India,60954,363,Gold,394247,534007,76212,2,2,33836,51,4,Yes,Yes,2,No,0.10053905100459655,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200087,72,Male,India,49630,403,Silver,441921,519282,44038,0,1,171384,70,1,No,Yes,6,Yes,0.7040198412698413,Yes,critical,high_churn_probability: Model predicts high likelihood of churn,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach
TESTCUST200088,65,Male,Australia,148582,831,Gold,491156,194478,59685,2,2,188651,80,4,Yes,Yes,2,No,0.05075588361143339,No,low,None detected,No action needed
TESTCUST200089,74,Male,Canada,61803,582,Silver,255441,362905,21602,2,1,5273,116,5,No,Yes,1,Yes,0.695243446993037,Yes,high,None detected,No action needed
TESTCUST200090,62,Male,UK,185841,521,Gold,414361,221101,17687,2,2,235453,112,1,No,Yes,2,No,0.05413363808920074,No,low,None detected,No action needed
TESTCUST200091,69,Male,UK,50898,814,Gold,454821,200794,55615,3,3,23055,100,5,No,Yes,5,No,0.08584954011683972,No,low,None detected,No action needed
TESTCUST200092,48,Male,UK,176437,677,Platinum,395320,439698,44217,1,1,33425,140,3,Yes,Yes,5,No,0.20644485151967454,No,low,None detected,No action needed
TESTCUST200093,70,Male,Australia,101877,776,Silver,509307,527672,63721,0,0,192509,104,2,Yes,Yes,0,No,0.15487644547799012,No,low,None detected,No action needed
TESTCUST200094,43,Female,Australia,134465,628,Silver,549858,49449,85955,1,2,238616,34,2,Yes,Yes,4,No,0.043585500260097304,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200095,24,Male,India,181426,421,Silver,423467,63771,77257,3,2,103227,129,4,No,Yes,3,No,0.08969441475836824,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200096,24,Male,Australia,209798,862,Silver,265514,331926,24344,2,0,77143,122,1,Yes,Yes,0,No,0.20115725513872396,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200097,32,Male,UK,72262,396,Gold,212088,339990,87188,3,1,37147,37,4,Yes,Yes,1,No,0.07307297540780512,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200098,42,Female,India,192417,696,Gold,436635,278778,76566,1,0,186814,49,4,No,Yes,1,No,0.0524039644046484,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200099,46,Female,Australia,67328,682,Gold,410581,412859,76365,5,0,222325,88,5,Yes,No,7,Yes,0.7478643422281191,Yes,critical,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in AvgMonthlySpend,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200100,60,Male,USA,118270,653,Silver,550442,400269,68660,0,1,38187,99,1,No,Yes,2,No,0.1294312200956938,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200101,62,Female,UK,215121,751,Silver,161132,45024,23806,4,2,77702,3,1,No,Yes,2,Yes,0.6839682539682539,Yes,high,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200102,55,Male,USA,36917,670,Silver,133287,289839,21606,2,0,120026,20,1,Yes,No,1,No,0.15109181073128597,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200103,24,Female,Canada,101337,626,Silver,384327,407860,16713,3,2,91894,102,2,No,No,1,Yes,0.5586463965716212,Yes,high,low_tenure: New or short-tenure customer; missing_features: Lacks popular value-added services,"[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Recommend additional services: HasOnlineBanking, HasMobileApp"
TESTCUST200104,32,Male,USA,183992,376,Platinum,419743,78892,25856,3,4,60525,15,1,No,Yes,2,No,0.09610621173798106,No,low,low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200105,24,Male,UK,209645,726,Platinum,452498,164710,13931,0,1,51642,45,5,No,Yes,4,No,0.06860338347746656,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200106,72,Male,Australia,189100,852,Silver,179918,365967,54514,3,2,143611,69,4,Yes,Yes,2,No,0.1135891642795497,No,low,None detected,No action needed
TESTCUST200107,51,Male,UK,157946,728,Silver,564952,16115,44591,1,2,67250,60,1,Yes,Yes,3,No,0.03031616751060684,No,low,None detected,No action needed
TESTCUST200108,27,Male,India,64850,726,Silver,139571,512324,2499,1,0,3311,60,5,Yes,Yes,3,No,0.3571626117179742,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200109,30,Male,India,115443,855,Gold,503134,86552,84957,0,2,175220,93,4,Yes,Yes,1,No,0.021313518931269888,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200110,44,Female,Canada,189031,779,Gold,364006,74940,31687,1,2,8735,120,1,No,Yes,2,No,0.0364859189299603,No,low,None detected,No action needed
TESTCUST200111,35,Male,Canada,170314,542,Silver,294648,106027,53956,1,1,13794,27,3,Yes,Yes,3,No,0.06250005041370436,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200112,59,Female,UK,122038,369,Gold,35970,532580,72577,0,2,43721,149,3,Yes,Yes,1,No,0.16692085382797459,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200113,40,Female,USA,64223,801,Platinum,125840,65207,22682,1,0,169123,144,3,Yes,Yes,2,No,0.0869345291194087,No,low,None detected,No action needed
